iter	Passed	Remaining
0	56	56754
1	72	36233
2	74	24612
3	87	21683
4	88	17554
5	100	16581
6	101	14355
7	102	12683
8	103	11388
9	104	10317
10	105	9473
11	106	8771
12	107	8171
13	108	7664
14	109	7213
15	111	6828
16	112	6482
17	113	6187
18	114	5916
19	115	5672
20	116	5442
21	117	5240
22	118	5041
23	119	4868
24	120	4711
25	121	4568
26	123	4442
27	124	4316
28	125	4202
29	126	4094
30	127	3998
31	128	3902
32	130	3811
33	131	372535	192	5159
36	200	5217
37	204	5177
38	212	5226
39	220	5298
40	226	5292
41	233	5326
42	239	5337
43	247	5383
44	249	5284
45	267	5542
46	278	5642
47	282	5600
48	285	5539
49	290	5524
50	292	5451
51	299	5451
52	299	53553	452	7920
54	453	7788
55	454	7659
56	459	7596
57	469	7624
58	473	7550
59	479	7504
60	486	7487
61	493	7467
62	498	7409
63	504	7376
64	511	7359
65	519	7347
66	524	7305
67	525	7200
68	533	7198
69	534	7097
70	534	6999
71	535	6904
72	546	6943
73	549	6880
74	554	6843
75	560	6812
76	563	6758
77	566	6701
78	569	6640
79	575	6617
80	578	6562
81	583	6531
82	585	6469
83	586	6391
84	598	6437
85	598	6364
86	614	6450
87	621	6438
88	628	6435
89	632	6399
90	633	6330
91	634	6265
92	635	6199
93	639	6164
94	640	6100
95	641	6038
96	643	5988
97	645	5944
98	649	5906
99	656	5910
100	657	5852
101	658	5795
102	659	5740
103	662	5705
104	663	5652
105	665	5608
106	666	5559
107	670	5537
108	671	5487
109	672	5438
110	674	5399
111	674	5351
112	675	5305
113	684	5320
114	687	5291
115	691	5270
116	692	5225
117	693	5180
118	693	5136
119	694	5092
120	695	5049
121	695	5007
122	706	5038
123	716	5062
124	717	5021
125	730	5066
126	734	5045
127	735	5008
128	735	4969
129	739	4949
130	740	4909
131	746	4910
132	750	4893
133	751	4856
134	757	4854
135	758	4817
136	758	4780
137	759	4744
138	760	4709
139	760	4674
140	766	4667
141	769	4652
142	772	4629
143	775	4607
144	778	4593
145	781	4573
146	785	4555
147	785	4522
148	789	4510
149	791	4486
150	792	4458
151	793	4429
152	795	4401
153	797	4380
154	803	4381
155	804	4352
156	805	4325
157	813	4334
158	815	4315
159	819	4303
160	820	4275
161	828	4284
162	834	4287
163	835	4260
164	845	4280
165	850	4275
166	855	4267
167	856	4242
168	867	4265
169	876	4278
170	880	4269
171	884	4255
172	890	4256
173	891	4230
174	891	4205
175	898	4207
176	901	4193
177	902	4168
178	910	4177
179	916	4173
180	920	4163
181	920	4139
182	921	4114
183	922	4090
184	923	4067
185	923	4043
186	924	4020
187	925	3996
188	926	3973
189	926	3949
190	927	3927
191	927	3905
192	928	3883
193	929	3861
194	929	3839
195	930	3817
196	931	3796
197	932	3775
19198	886	3567
199	890	3563
200	894	3553
201	896	3540
202	898	3525
203	900	3515
204	901	3495
205	907	3498
206	913	3498
207	915	3486
208	916	3468
209	921	3467
210	929	3476
211	936	3481
212	942	3480
213	947	3479
214	950	3471
215	951	3453
216	963	347217	1056	3791
218	1063	3791
219	1069	3791
220	1074	3789
221	1075	3769
222	1080	3763
223	1080	3744
224	1081	3725
225	1082	3706
226	1082	3687
227	1083	3669
228	1084	3650
229	1084	3632
230	1085	3614
